"file","spp_name","file_binomial","english_common_name","species_id","aou","french_common_name","spanish_common_name","sporder","family","genus","species","binomial","old_genus","new_binomial","matched_filename","climate_vol_1.4","climate_vol_2.1"
"Molothrus_ater_22724354.shp","Molothrus_ater","Molothrus ater","Brown-headed Cowbird",1480,4950,"Vacher à tête brune","Molothrus ater","Passeriformes","Icteridae","Molothrus","ater","Molothrus ater",NA,NA,"Molothrus_ater",NA,NA
"Myiarchus_crinitus_22700433.shp","Myiarchus_crinitus","Myiarchus crinitus","Great Crested Flycatcher",900,4520,"Tyran huppé","Myiarchus crinitus","Passeriformes","Tyrannidae","Myiarchus","crinitus","Myiarchus crinitus",NA,NA,"Myiarchus_crinitus",NA,NA
"Parula_americana_22721639.shp","Parula_americana","Parula americana","Northern Parula",1284,6480,"Paruline à collier","Setophaga americana","Passeriformes","Parulidae","Setophaga","americana","Setophaga americana","Parula","Parula americana","Parula_americana",NA,NA
"Parus_carolinensis_22711708.shp","Parus_carolinensis","Parus carolinensis","Carolina Chickadee",1030,7360,"Mésange de Caroline","Poecile carolinensis","Passeriformes","Paridae","Poecile","carolinensis","Poecile carolinensis","Parus","Parus carolinensis","Parus_carolinensis",NA,NA
"Passer_domesticus_22718174.shp","Passer_domesticus","Passer domesticus","House Sparrow",1195,6882,"Moineau domestique","Passer domesticus","Passeriformes","Passeridae","Passer","domesticus","Passer domesticus",NA,NA,"Passer_domesticus",NA,NA
"Passerina_caerulea_22723939.shp","Passerina_caerulea","Passerina caerulea","Blue Grosbeak",1454,5970,"Guiraca bleu","Passerina caerulea","Passeriformes","Cardinalidae","Passerina","caerulea","Passerina caerulea",NA,NA,"Passerina_caerulea",NA,NA
"Passerina_cyanea_22723951.shp","Passerina_cyanea","Passerina cyanea","Indigo Bunting",1456,5980,"Passerin indigo","Passerina cyanea","Passeriformes","Cardinalidae","Passerina","cyanea","Passerina cyanea",NA,NA,"Passerina_cyanea",NA,NA
"Pipilo_erythrophthalmus_22721310.shp","Pipilo_erythrophthalmus","Pipilo erythrophthalmus","Eastern Towhee",1359,5870,"Tohi à flancs roux","Pipilo erythrophthalmus","Passeriformes","Emberizidae","Pipilo","erythrophthalmus","Pipilo erythrophthalmus",NA,NA,"Pipilo_erythrophthalmus",NA,NA
"Piranga_olivacea_22722466.shp","Piranga_olivacea","Piranga olivacea","Scarlet Tanager",1434,6080,"Piranga écarlate","Piranga olivacea","Passeriformes","Cardinalidae","Piranga","olivacea","Piranga olivacea",NA,NA,"Piranga_olivacea",NA,NA
"Piranga_rubra_22722456.shp","Piranga_rubra","Piranga rubra","Summer Tanager",1433,6100,"Piranga vermillon","Piranga rubra","Passeriformes","Cardinalidae","Piranga","rubra","Piranga rubra",NA,NA,"Piranga_rubra",NA,NA
